1,1," ""All Students"""," ""All Students"""
3,3," ""Male"""," ""Gender"""
4,4," ""Female"""," ""Gender"""
6,6," ""Fluent English proficient and English only"""," ""English-Language Fluency"""
7,7," ""Initial fluent English proficient (IFEP)"""," ""English-Language Fluency"""
8,8," ""Reclassified fluent English proficient (RFEP)"""," ""English-Language Fluency"""
28,28," ""Migrant education"""," ""Migrant"""
31,31," ""Economically disadvantaged"""," ""Economic Status"""
74,74," ""Black or African American"""," ""Ethnicity"""
75,75," ""American Indian or Alaska Native"""," ""Ethnicity"""
76,76," ""Asian"""," ""Ethnicity"""
77,77," ""Filipino"""," ""Ethnicity"""
78,78," ""Hispanic or Latino"""," ""Ethnicity"""
79,79," ""Native Hawaiian or Pacific Islander"""," ""Ethnicity"""
80,80," ""White"""," ""Ethnicity"""
90,90," ""Not a high school graduate"""," ""Parent Education"""
91,91," ""High school graduate"""," ""Parent Education"""
92,92," ""Some college (includes AA degree)"""," ""Parent Education"""
93,93," ""College graduate"""," ""Parent Education"""
94,94," ""Graduate school/Post graduate"""," ""Parent Education"""
99,99," ""Students with no reported disability"""," ""Disability Status"""
111,111," ""Not economically disadvantaged"""," ""Economic Status"""
120,120," ""English learners (ELs) enrolled in school in the U.S. fewer than 12 months"""," ""English-Language Fluency"""
121,121," ""Declined to state"""," ""Parent Education"""
128,128," ""Students with disability"""," ""Disability Status"""
142,142," ""English learners enrolled in school in the U.S. 12 months or more"""," ""English-Language Fluency"""
144,144," ""Two or more races"""," ""Ethnicity"""
160,160," ""English learner"""," ""English-Language Fluency"""
170,170," ""Ever-ELs"""," ""English-Language Fluency"""
180,180," ""English only"""," ""English-Language Fluency"""
190,190," ""To be determined (TBD)"""," ""English-Language Fluency"""
200,200," ""Black or African American"""," ""Ethnicity for Economically Disadvantaged"""
201,201," ""American Indian or Alaska Native"""," ""Ethnicity for Economically Disadvantaged"""
202,202," ""Asian"""," ""Ethnicity for Economically Disadvantaged"""
203,203," ""Filipino"""," ""Ethnicity for Economically Disadvantaged"""
204,204," ""Hispanic or Latino"""," ""Ethnicity for Economically Disadvantaged"""
205,205," ""Native Hawaiian or Pacific Islander"""," ""Ethnicity for Economically Disadvantaged"""
206,206," ""White"""," ""Ethnicity for Economically Disadvantaged"""
207,207," ""Two or more races"""," ""Ethnicity for Economically Disadvantaged"""
220,220," ""Black or African American"""," ""Ethnicity for Not Economically Disadvantaged"""
221,221," ""American Indian or Alaska Native"""," ""Ethnicity for Not Economically Disadvantaged"""
222,222," ""Asian"""," ""Ethnicity for Not Economically Disadvantaged"""
223,223," ""Filipino"""," ""Ethnicity for Not Economically Disadvantaged"""
224,224," ""Hispanic or Latino"""," ""Ethnicity for Not Economically Disadvantaged"""
225,225," ""Native Hawaiian or Pacific Islander"""," ""Ethnicity for Not Economically Disadvantaged"""
226,226," ""White"""," ""Ethnicity for Not Economically Disadvantaged"""
227,227," ""Two or more races"""," ""Ethnicity for Not Economically Disadvantaged"""